Strain,env,Mean_GR,Std_err,DFEmean,DFEvar,DFEskew ,DFEmean_min,DFEmean_max,DFEvar_min,DFEvar_max,DFEskew_min,DFEskew_max
LK4-H03,YPD,0.695539136,0.001593772,-0.033220129,0.001162763,-0.889152762,-0.042299655,-0.024409079,0.000720701,0.001550169,-1.310175391,-0.383749416
LK4-H10,YPD,0.656748738,0.001852174,-0.028224147,0.001091412,-0.661134394,-0.035715117,-0.019958926,0.000663711,0.001490906,-1.308975609,0.017853485
LK4-H11,YPD,0.631024984,0.001277561,-0.017463717,0.001140882,-0.934358957,-0.024684173,-0.009663279,0.00064877,0.001569275,-1.465538908,-0.111701965
LK4-H12,YPD,0.612740827,0.00158355,-0.012158111,0.000530497,-0.336538247,-0.017810416,-0.007025327,0.000310439,0.000720177,-1.082699043,0.4273965
LK5-A03,YPD,0.703347094,0.000399943,-0.035605784,0.002469279,-1.283314836,-0.047632735,-0.024373791,0.001213188,0.003417874,-1.761828786,-0.803582469
LK5-A04,YPD,0.705261381,0.001161539,-0.037371449,0.001593079,-1.345524808,-0.047361099,-0.027877577,0.000857029,0.002219152,-2.075223435,-0.568371871
LK5-A05,YPD,0.679690015,0.001676083,-0.037918825,0.001941273,-1.012387153,-0.047753931,-0.027536163,0.001087166,0.002597433,-1.451707086,-0.406350006
LK5-A07,YPD,0.694914103,0.000708336,-0.040902409,0.001698342,-1.077478167,-0.050694467,-0.03227222,0.001003556,0.00230142,-1.545006586,-0.447035757
LK5-B01,YPD,0.605975667,0.002494945,-0.011245997,0.000946958,-0.911742323,-0.017738925,-0.004382427,0.000516398,0.001361804,-1.768303767,0.338870131
LK5-B05,YPD,0.60641289,0.000616874,-0.019234223,0.000929932,-0.408586033,-0.026002818,-0.012339666,0.000550594,0.001260147,-1.118866922,0.261798388
LK5-B06,YPD,0.606152281,0.001247257,-0.01145646,0.000911591,0.086369923,-0.019340322,-0.003216039,0.000519041,0.001281403,-0.644244973,0.674789015
LK5-B07,YPD,0.549961751,0.000467444,-0.01648415,0.001013827,-0.947804226,-0.023894816,-0.009389804,0.000563218,0.001431086,-1.628738908,0.259381889
LK5-C01,YPD,0.638655125,0.001292945,-0.00860824,0.000576831,-0.233606253,-0.015248575,-0.002510137,0.000323194,0.000816942,-0.887415451,0.702146539
LK5-C03,YPD,0.639249598,0.001128729,-0.014870416,0.000746065,-1.074965662,-0.02092266,-0.008251787,0.000345935,0.001117331,-2.03938534,0.258244366
LK5-C04,YPD,0.726660879,0.002889505,-0.043613676,0.001778955,-1.016188797,-0.053293763,-0.03460544,0.001095366,0.002386071,-1.474664199,-0.524527995
LK5-C11,YPD,0.596434105,0.001986203,-0.012828771,0.000964762,-0.889536284,-0.019637282,-0.006112776,0.000584012,0.001288693,-1.320634732,-0.421517019
LK5-D03,YPD,0.74360662,0.001955251,-0.031098373,0.001285813,-1.193557302,-0.039310513,-0.022242849,0.000707247,0.001797681,-1.824939527,-0.545670057
LK5-D04,YPD,0.665220331,0.001298156,-0.033712821,0.00109701,-0.518394095,-0.040853356,-0.026410458,0.000724372,0.001414279,-1.021582063,0.087710876
LK5-D05,YPD,0.711891378,0.007297819,-0.035101716,0.001146119,-1.210720456,-0.043892073,-0.027299713,0.000686862,0.001571363,-1.954672598,-0.364749209
LK5-D08,YPD,0.704566149,0.00392163,-0.027053575,0.001267709,-0.599197727,-0.035252578,-0.018832502,0.000810471,0.001668203,-1.004536135,-0.168899116
LK5-D09,YPD,0.676783615,0.003868134,-0.014566386,0.001053007,0.647552129,-0.022419788,-0.00638565,0.000631847,0.001431943,-0.250193268,1.044039227
LK5-E01,YPD,0.585800912,0.001586492,-0.009257268,0.000636987,-0.087681022,-0.015781749,-0.002485633,0.000370395,0.00091317,-0.930402635,0.609548046
LK5-E08,YPD,0.608373036,0.01857088,-0.027460883,0.0009474,-1.324961081,-0.035170335,-0.020094569,0.000518633,0.001314542,-1.920023565,-0.687655794
LK5-E09,YPD,0.658670716,0.001369363,-0.019742236,0.001224427,-0.705448068,-0.027917273,-0.011889951,0.000731586,0.001680714,-1.466415495,-0.021065209
LK5-F01,YPD,0.701440792,0.001767911,-0.025178576,0.001129157,-1.197434575,-0.033411922,-0.016627051,0.000604335,0.00158747,-1.786532382,-0.615154211
LK5-F03,YPD,0.61354205,0.002508937,-0.010408189,0.001134446,-0.842362729,-0.018286135,-0.002191407,0.000678767,0.001541393,-1.49941205,0.098922372
LK5-F07,YPD,0.728821729,0.002264054,-0.0431275,0.001688991,-0.704448771,-0.051763208,-0.034144343,0.001200911,0.002125781,-1.143138233,-0.279062224
